sender,receiver,edge_type
lbukunAA,lbukunAA,reply
bretsw,bretsw,reply
bretsw,bretsw,reply
bretsw,bretsw,reply
bretsw,eromerohall,reply
bretsw,FakeBobGagne,reply
AECT,jmenglund03,reply
correia65,AnnaRoseLeach,reply
caranorth11,FredWBaker,reply
PaulineMuljana,tintinluo,reply
PaulineMuljana,AmyLomellini_ID,reply
PaulineMuljana,WEHSLibrary,reply
PaulineMuljana,robmoore3,reply
PaulineMuljana,soniastic,reply
nicolapallitt,aectclt,reply
nicolapallitt,eromerohall,reply
michaelmgrant,FakeBobGagne,reply
michaelmgrant,DKSch,reply
michaelmgrant,gsa_aect,reply
michaelmgrant,nicolapallitt,reply
michaelmgrant,robmoore3,reply
michaelmgrant,EdTech_UofSC,reply
jeroen69,jeroen69,reply
jeroen69,vdennen,reply
jeroen69,jeroen69,reply
jeroen69,jeroen69,reply
teacherrogers,teacherrogers,reply
FredWBaker,caranorth11,reply
WorldEdUS,WorldEdUS,reply
yinbk,jonbecker,reply
yinbk,DrVirtuality,reply
yinbk,yinbk,reply
yinbk,DrVirtuality,reply
jmenglund03,bonni208,reply
jmenglund03,PaulineMuljana,reply
jmenglund03,SBarksway,reply
KuiXiePHD,LiuJh_Christie,reply
KuiXiePHD,Happy_Tao,reply
AnnaRoseLeach,michaelmgrant,reply
DrTerriC,Livn2Learn,reply
DrTerriC,mete_akca,reply
DKSch,DKSch,reply
DKSch,DKSch,reply
DKSch,DKSch,reply
FakeBobGagne,eyer,reply
FakeBobGagne,FredWBaker,reply
steph_moore,steph_moore,reply
pazureka,SBarksway,reply
pazureka,bretsw,reply
pazureka,Katelenert,reply
_valeriei,eromerohall,reply
SBarksway,pazureka,reply
arasbozkurt,eromerohall,reply
arasbozkurt,arasbozkurt,reply
arasbozkurt,arasbozkurt,reply
NancyeBlackEdu,DrVirtuality,reply
NancyeBlackEdu,WEHSLibrary,reply
TAmankwatia,TAmankwatia,reply
jennkepka,jennkepka,reply
36trusso,WilsonInEdu,reply
chloed2040,jeroen69,reply
Livn2Learn,trishuhl,reply
taevans,AECT,reply
tadousay,FakeBobGagne,retweet
tadousay,gravesle,retweet
lbukunAA,emergeAfrica,retweet
lbukunAA,tutaleni,retweet
lbukunAA,PaulineMuljana,retweet
lbukunAA,tutaleni,retweet
lbukunAA,tutaleni,retweet
lbukunAA,_ThanhDo,retweet
lbukunAA,tutaleni,retweet
lbukunAA,nicolapallitt,retweet
lbukunAA,nicolapallitt,retweet
vt_idt,veletsianos,retweet
vt_idt,onmyway2here,retweet
bretsw,susiegronseth,retweet
bretsw,nangur1,retweet
bretsw,tutaleni,retweet
bretsw,DrRossPerkins,retweet
bretsw,caranorth11,retweet
bretsw,nangur1,retweet
bretsw,gsa_aect,retweet
bretsw,techedges,retweet
bretsw,w200zmn,retweet
bretsw,vdennen,retweet
bretsw,aectrtd,retweet
bretsw,AECT,retweet
bretsw,DrRossPerkins,retweet
bretsw,RitaFennelly,retweet
AECT,Learnics_,retweet
AECT,SBarksway,retweet
AECT,gravesle,retweet
AECT,bretsw,retweet
AECT,DrTerriC,retweet
AECT,MuratTurkEd,retweet
AECT,AnnaRoseLeach,retweet
AECT,EdTechAGP,retweet
AECT,NeumannKL,retweet
AECT,MelGoodEDU,retweet
AECT,rmreese1,retweet
AECT,onmyway2here,retweet
AECT,bretsw,retweet
AECT,bretsw,retweet
AECT,robmoore3,retweet
AECT,MDRogers360,retweet
AECT,emergeAfrica,retweet
AECT,idtesu,retweet
AECT,robmoore3,retweet
AECT,FanXU92073425,retweet
AECT,ISLT_FSU,retweet
AECT,nicolapallitt,retweet
AECT,idtesu,retweet
AECT,LiuJh_Christie,retweet
AECT,CaseyHi29640551,retweet
AECT,ISLT_FSU,retweet
AECT,CaseyHi29640551,retweet
AECT,aectclt,retweet
AECT,matt_m_schmidt,retweet
AECT,idtesu,retweet
AECT,WilsonInEdu,retweet
AECT,LiuJh_Christie,retweet
AECT,hampthephd,retweet
AECT,matt_m_schmidt,retweet
AECT,ifenthaler,retweet
AECT,kariword,retweet
AECT,Happy_Tao,retweet
AECT,ChangeIt4Better,retweet
AECT,RitaFennelly,retweet
AECT,robmoore3,retweet
AECT,Kadeshaaa_,retweet
AECT,WilsonInEdu,retweet
AECT,hodgesc,retweet
AECT,WilsonInEdu,retweet
AECT,DrVirtuality,retweet
AECT,Chiffonbest,retweet
AECT,LiuJh_Christie,retweet
AECT,MuratTurkEd,retweet
AECT,DrTerriC,retweet
AECT,MeganCMurtaugh,retweet
AECT,idtesu,retweet
AECT,tutaleni,retweet
AECT,robmoore3,retweet
AECT,FredWBaker,retweet
AECT,michaelmgrant,retweet
AECT,pazureka,retweet
AECT,aectrtd,retweet
AECT,gsa_aect,retweet
AECT,DrVirtuality,retweet
AECT,yinbk,retweet
AECT,jeroen69,retweet
AECT,LiuJh_Christie,retweet
AECT,ZhenXu0905,retweet
AECT,LearnEngage,retweet
AECT,bretsw,retweet
AECT,yinbk,retweet
AECT,ericpaulrogers,retweet
AECT,DrVirtuality,retweet
AECT,jennkepka,retweet
AECT,TAmankwatia,retweet
AECT,pazureka,retweet
AECT,koubenec,retweet
AECT,bretsw,retweet
AECT,onmyway2here,retweet
AECT,emergeAfrica,retweet
AECT,gsa_aect,retweet
AECT,SBarksway,retweet
AECT,nangur1,retweet
AECT,FredWBaker,retweet
AECT,LiuJh_Christie,retweet
AECT,kariword,retweet
AECT,chloed2040,retweet
AECT,pazureka,retweet
AECT,PaulineMuljana,retweet
AECT,srogidd,retweet
AECT,ChangeIt4Better,retweet
AECT,michaelmgrant,retweet
AECT,gsa_aect,retweet
AECT,robmoore3,retweet
AECT,nicolapallitt,retweet
AECT,robmoore3,retweet
AECT,dctrcurry,retweet
AECT,dctrcurry,retweet
AECT,koubenec,retweet
AECT,SURTThomas,retweet
AECT,rmreese1,retweet
AECT,Captain_Fess,retweet
AECT,kzenovka,retweet
AECT,hodgesc,retweet
AECT,DKSch,retweet
AECT,troman,retweet
AECT,PaulineMuljana,retweet
AECT,tutaleni,retweet
AECT,jennkepka,retweet
AECT,tutaleni,retweet
AECT,C21U,retweet
AECT,ChildsElizabeth,retweet
AECT,ISLT_FSU,retweet
AECT,SURTThomas,retweet
AECT,arasbozkurt,retweet
AECT,nangur1,retweet
AECT,hodgesc,retweet
AECT,DrRossPerkins,retweet
AECT,pazureka,retweet
AECT,robmoore3,retweet
AECT,hampthephd,retweet
AECT,ruitammyhuang,retweet
AECT,nikiwats23,retweet
AECT,EdTech_Books,retweet
AECT,art_brownlow,retweet
AECT,nangur1,retweet
AECT,kzenovka,retweet
AECT,Stephsteph83,retweet
AECT,AllisonHallAZ,retweet
AECT,tutaleni,retweet
AECT,nangur1,retweet
AECT,richardewest,retweet
AECT,techedges,retweet
AECT,LearnEngage,retweet
AECT,tutaleni,retweet
AECT,DrVirtuality,retweet
AECT,gsa_aect,retweet
AECT,SURTThomas,retweet
AECT,tkolski716,retweet
AECT,LearnEngage,retweet
AECT,MeganCMurtaugh,retweet
AECT,RitaFennelly,retweet
AECT,Captain_Fess,retweet
AECT,michaelmgrant,retweet
AECT,richardewest,retweet
AECT,AnnaRoseLeach,retweet
AECT,schmik7,retweet
AECT,DrVirtuality,retweet
AECT,nangur1,retweet
AECT,yinbk,retweet
AECT,FakeBobGagne,retweet
AECT,Chiffonbest,retweet
AECT,matt_m_schmidt,retweet
AECT,tadousay,retweet
AECT,KuiXiePHD,retweet
AECT,AlianaZhu,retweet
AECT,caranorth11,retweet
AECT,LiuJh_Christie,retweet
AECT,robmoore3,retweet
AECT,KuiXiePHD,retweet
AECT,idtesu,retweet
AECT,ISLT_FSU,retweet
AECT,SBarksway,retweet
AECT,ISLT_FSU,retweet
AECT,schmik7,retweet
AECT,robmoore3,retweet
AECT,DrTerriC,retweet
AECT,FanXU92073425,retweet
AECT,RitaFennelly,retweet
AECT,MuratTurkEd,retweet
AECT,DrVirtuality,retweet
AECT,nicolapallitt,retweet
AECT,JCHEResearch,retweet
AECT,DrRossPerkins,retweet
AECT,gsa_aect,retweet
AECT,DrVirtuality,retweet
AECT,AllisonHallAZ,retweet
AECT,hampthephd,retweet
AECT,caranorth11,retweet
AECT,jeroen69,retweet
AECT,AllisonHallAZ,retweet
AECT,hodgesc,retweet
AECT,PaulineMuljana,retweet
AECT,bretsw,retweet
AECT,profoyarzun,retweet
AECT,d_mulder,retweet
AECT,kariword,retweet
AECT,OlgaCataliina,retweet
AECT,ericpaulrogers,retweet
AECT,idtesu,retweet
AECT,ISLT_FSU,retweet
AECT,ruitammyhuang,retweet
AECT,UF_COE,retweet
AECT,art_brownlow,retweet
AECT,ISLT_FSU,retweet
AECT,hodgesc,retweet
AECT,RealMelissaWarr,retweet
AECT,johnhiltoniii,retweet
AECT,ISLT_FSU,retweet
AECT,LearnEngage,retweet
AECT,hodgesc,retweet
AECT,bretsw,retweet
AECT,ChangeIt4Better,retweet
AECT,ISLT_FSU,retweet
AECT,kolorkid,retweet
AECT,RitaFennelly,retweet
AECT,LiuJh_Christie,retweet
AECT,bretsw,retweet
AECT,dctrcurry,retweet
AECT,nicolapallitt,retweet
AECT,nicolapallitt,retweet
AECT,MarcusChildress,retweet
AECT,d_mulder,retweet
AECT,hampthephd,retweet
AECT,DrVirtuality,retweet
AECT,bretsw,retweet
AECT,nicolapallitt,retweet
AECT,nangur1,retweet
AECT,michaelmgrant,retweet
AECT,idtesu,retweet
AECT,ericpaulrogers,retweet
AECT,LearnEngage,retweet
AECT,RoutledgeEd,retweet
AECT,ISLT_FSU,retweet
AECT,nateturcotte22,retweet
AECT,arasbozkurt,retweet
AECT,valarywithawhy,retweet
AECT,nicolapallitt,retweet
AECT,hodgesc,retweet
AECT,rmreese1,retweet
AECT,AmyLomellini_ID,retweet
AECT,DrVirtuality,retweet
AECT,RitaFennelly,retweet
AECT,WorldEdUS,retweet
AECT,ISLT_FSU,retweet
AECT,JenM,retweet
AECT,marshallgjones,retweet
AECT,AectInternship,retweet
AECT,RitaFennelly,retweet
AECT,DrVirtuality,retweet
AECT,hampthephd,retweet
AECT,kzenovka,retweet
AECT,ruitammyhuang,retweet
AECT,jennkepka,retweet
AECT,EdTechAGP,retweet
AECT,DrVirtuality,retweet
AECT,jjm09,retweet
AECT,ruitammyhuang,retweet
AECT,kariword,retweet
AECT,VanekJen,retweet
AECT,DrRossPerkins,retweet
AECT,RitaFennelly,retweet
AECT,Happy_Tao,retweet
AECT,ChangeIt4Better,retweet
AECT,ChangeIt4Better,retweet
AECT,michaelmgrant,retweet
AECT,RitaFennelly,retweet
AECT,UT_IDT,retweet
AECT,tadousay,retweet
AECT,DKSch,retweet
AECT,ChangeIt4Better,retweet
AECT,jcmadison2007,retweet
AECT,aectddl,retweet
AECT,kolorkid,retweet
AECT,ChangeIt4Better,retweet
AECT,PaulineMuljana,retweet
AECT,FredWBaker,retweet
AECT,AmyLomellini_ID,retweet
AECT,LiuJh_Christie,retweet
