sender,receiver,weight
lbukunAA,lbukunAA,1
bretsw,bretsw,6
bretsw,eromerohall,3
bretsw,FakeBobGagne,4
AECT,jmenglund03,2
correia65,AnnaRoseLeach,6
caranorth11,FredWBaker,6
PaulineMuljana,tintinluo,6
PaulineMuljana,AmyLomellini_ID,6
PaulineMuljana,WEHSLibrary,2
PaulineMuljana,robmoore3,7
PaulineMuljana,soniastic,2
nicolapallitt,aectclt,15
nicolapallitt,eromerohall,2
michaelmgrant,FakeBobGagne,2
michaelmgrant,DKSch,4
michaelmgrant,gsa_aect,18
michaelmgrant,nicolapallitt,8
michaelmgrant,robmoore3,2
michaelmgrant,EdTech_UofSC,6
jeroen69,jeroen69,3
jeroen69,vdennen,2
teacherrogers,teacherrogers,3
FredWBaker,caranorth11,3
WorldEdUS,WorldEdUS,2
yinbk,jonbecker,2
yinbk,DrVirtuality,6
yinbk,yinbk,1
jmenglund03,bonni208,2
jmenglund03,PaulineMuljana,4
jmenglund03,SBarksway,5
KuiXiePHD,LiuJh_Christie,2
KuiXiePHD,Happy_Tao,4
AnnaRoseLeach,michaelmgrant,2
DrTerriC,Livn2Learn,2
DrTerriC,mete_akca,3
DKSch,DKSch,3
FakeBobGagne,eyer,2
FakeBobGagne,FredWBaker,2
steph_moore,steph_moore,1
pazureka,SBarksway,5
pazureka,bretsw,2
pazureka,Katelenert,2
_valeriei,eromerohall,2
SBarksway,pazureka,4
arasbozkurt,eromerohall,5
arasbozkurt,arasbozkurt,2
NancyeBlackEdu,DrVirtuality,3
NancyeBlackEdu,WEHSLibrary,2
TAmankwatia,TAmankwatia,1
jennkepka,jennkepka,1
36trusso,WilsonInEdu,2
chloed2040,jeroen69,4
Livn2Learn,trishuhl,2
taevans,AECT,2
tadousay,FakeBobGagne,2
tadousay,gravesle,2
lbukunAA,emergeAfrica,3
lbukunAA,tutaleni,8
lbukunAA,PaulineMuljana,3
lbukunAA,_ThanhDo,1
lbukunAA,nicolapallitt,5
vt_idt,veletsianos,2
vt_idt,onmyway2here,2
bretsw,susiegronseth,4
bretsw,nangur1,4
bretsw,tutaleni,2
bretsw,DrRossPerkins,6
bretsw,caranorth11,4
bretsw,gsa_aect,2
bretsw,techedges,2
bretsw,w200zmn,2
bretsw,vdennen,2
bretsw,aectrtd,3
bretsw,AECT,6
bretsw,RitaFennelly,2
AECT,Learnics_,1
AECT,SBarksway,7
AECT,gravesle,2
AECT,bretsw,27
AECT,DrTerriC,10
AECT,MuratTurkEd,4
AECT,AnnaRoseLeach,7
AECT,EdTechAGP,2
AECT,NeumannKL,2
AECT,MelGoodEDU,2
AECT,rmreese1,10
AECT,onmyway2here,4
AECT,robmoore3,24
AECT,MDRogers360,1
AECT,emergeAfrica,6
AECT,idtesu,16
AECT,FanXU92073425,6
AECT,ISLT_FSU,34
AECT,nicolapallitt,26
AECT,LiuJh_Christie,11
AECT,CaseyHi29640551,4
AECT,aectclt,20
AECT,matt_m_schmidt,6
AECT,WilsonInEdu,6
AECT,hampthephd,13
AECT,ifenthaler,6
AECT,kariword,7
AECT,Happy_Tao,5
AECT,ChangeIt4Better,22
AECT,RitaFennelly,38
AECT,Kadeshaaa_,2
AECT,hodgesc,21
AECT,DrVirtuality,33
AECT,Chiffonbest,4
AECT,MeganCMurtaugh,7
AECT,tutaleni,18
AECT,FredWBaker,8
AECT,michaelmgrant,49
AECT,pazureka,14
AECT,aectrtd,3
AECT,gsa_aect,28
AECT,yinbk,8
AECT,jeroen69,9
AECT,ZhenXu0905,2
AECT,LearnEngage,28
AECT,ericpaulrogers,6
AECT,jennkepka,8
AECT,TAmankwatia,2
AECT,koubenec,10
AECT,nangur1,20
AECT,chloed2040,4
AECT,PaulineMuljana,18
AECT,srogidd,9
AECT,dctrcurry,21
AECT,SURTThomas,6
AECT,Captain_Fess,4
AECT,kzenovka,8
AECT,DKSch,6
AECT,troman,3
AECT,C21U,2
AECT,ChildsElizabeth,2
AECT,arasbozkurt,10
AECT,DrRossPerkins,7
AECT,ruitammyhuang,5
AECT,nikiwats23,4
AECT,EdTech_Books,3
AECT,art_brownlow,4
AECT,Stephsteph83,4
AECT,AllisonHallAZ,6
AECT,richardewest,6
AECT,techedges,2
AECT,tkolski716,2
AECT,schmik7,4
AECT,FakeBobGagne,2
AECT,tadousay,12
AECT,KuiXiePHD,4
AECT,AlianaZhu,2
AECT,caranorth11,11
AECT,JCHEResearch,2
AECT,profoyarzun,5
AECT,d_mulder,10
AECT,OlgaCataliina,2
AECT,UF_COE,2
AECT,RealMelissaWarr,4
AECT,johnhiltoniii,2
AECT,kolorkid,13
AECT,MarcusChildress,2
AECT,RoutledgeEd,4
AECT,nateturcotte22,5
AECT,valarywithawhy,4
AECT,AmyLomellini_ID,9
AECT,WorldEdUS,2
AECT,JenM,7
AECT,marshallgjones,2
AECT,AectInternship,2
AECT,jjm09,4
AECT,VanekJen,2
AECT,UT_IDT,6
AECT,jcmadison2007,2
AECT,aectddl,5
AECT,rebeccamclark87,4
AECT,HsuBSU,2
AECT,EmmaMMercier,2
AECT,EINS_Institute,2
AECT,TaraBunag,2
AECT,SmithShannonM,2
AECT,teacherrogers,2
AECT,NaterciaValle,1
AECT,lbukunAA,1
AECT,aectdddivision,3
AECT,FiratSarsar,2
AECT,EdTech_UofSC,4
AECT,michelestork,3
AECT,KinardWidad,2
AECT,vdennen,4
AECT,ekowch,3
AECT,eme2040laurenv,2
AECT,Gaston_teach,2
AECT,jbrishke,2
AECT,susiegronseth,3
AECT,steph_moore,3
SebLopJr,RitaFennelly,6
SebLopJr,AECT,5
correia65,FanXU92073425,3
